name,team,pos,gms,pts,reb,ast,blk,stl,fg%,ft%,3p%,ftm,2pm,3pm,to,min,dd2,td3,fpts
LaMarcus Aldridge,SA,PF,81,1727,744,194,107,43,51.9,84.7,23.8,349,674,10,144,2686,32,0,3066.8
Blake Griffin,DET,PF,75,1841,565,402,28,52,46.2,75.3,36.2,414,430,189,253,2622,21,2,3029.0
DeMar DeRozan,SA,SG,77,1635,462,475,36,86,48.1,83.0,15.6,366,624,7,199,2688,12,1,2946.9
D'Angelo Russell,BKN,PG,81,1712,315,563,20,100,43.4,78.0,36.9,160,425,234,253,2448,14,0,2921.5
Anthony Davis,NO,PF,56,1452,672,218,135,88,51.7,79.4,33.1,344,482,48,112,1849,37,0,2919.4
Stephen Curry,GS,PG,69,1881,369,361,25,92,47.2,91.6,43.7,263,278,354,192,2331,3,0,2907.3
Luka Doncic,DAL,PG,72,1526,563,429,25,77,42.7,71.3,32.7,346,338,168,247,2317,24,8,2802.1
Kyrie Irving,BOS,PG,67,1596,335,464,34,103,48.7,87.3,40.1,214,430,174,172,2214,21,1,2796.0
Tobias Harris,PHI,SF,82,1644,645,229,37,51,48.7,86.6,39.7,266,455,156,151,2847,15,0,2786.5
De'Aaron Fox,SAC,PG,81,1399,304,590,45,133,45.8,72.7,37.1,303,419,86,227,2545,16,1,2777.8
LeBron James,LAL,SF,55,1505,465,454,33,72,51.0,66.5,33.9,278,447,111,197,1937,32,8,2757.0
Trae Young,ATL,PG,81,1549,301,653,15,72,41.8,82.9,32.4,343,369,156,308,2503,30,1,2755.7
Donovan Mitchell,UTA,SG,77,1829,316,322,31,106,43.2,80.6,36.2,319,473,188,218,2598,1,0,2747.2
Jrue Holiday,NO,PG,67,1420,334,518,54,109,47.2,76.8,32.5,208,429,118,210,2402,18,0,2713.8
Julius Randle,NO,PF,73,1565,634,229,45,52,52.4,73.1,34.4,356,504,67,208,2231,31,1,2655.3
Kawhi Leonard,TOR,SF,60,1596,439,199,24,106,49.6,85.4,37.1,364,448,112,121,2040,14,0,2560.3
