Home,Home Points,Visitor,Visitor Points
Indiana Pacers,102,Oklahoma City Thunder,97
Detroit Pistons,107,Toronto Raptors,116
Brooklyn Nets,97,Orlando Magic,88
New York Knicks,100,Chicago Bulls,89
Portland Trail Blazers,119,Golden State Warriors,117
Sacramento Kings,106,Minnesota Timberwolves,103
Los Angeles Lakers,90,Memphis Grizzlies,102
Philadelphia 76ers,113,Boston Celtics,108
Toronto Raptors,110,Milwaukee Bucks,100
Washington Wizards,114,Miami Heat,93
Atlanta Hawks,93,Charlotte Bobcats,95
Chicago Bulls,108,Orlando Magic,95
Houston Rockets,104,San Antonio Spurs,98
New Orleans Pelicans,101,Oklahoma City Thunder,89
Utah Jazz,104,Los Angeles Lakers,119
Phoenix Suns,91,Memphis Grizzlies,97
Golden State Warriors,130,Minnesota Timberwolves,120
Brooklyn Nets,98,New York Knicks,109
Los Angeles Clippers,117,Denver Nuggets,105
Charlotte Bobcats,91,Chicago Bulls,86
Orlando Magic,86,Indiana Pacers,101
Boston Celtics,102,Washington Wizards,118
Cleveland Cavaliers,114,Brooklyn Nets,85
Memphis Grizzlies,106,Dallas Mavericks,105
Miami Heat,87,Philadelphia 76ers,100
Milwaukee Bucks,103,Atlanta Hawks,111
Minnesota Timberwolves,130,Utah Jazz,136
New Orleans Pelicans,105,Houston Rockets,100
New York Knicks,95,Toronto Raptors,92
Oklahoma City Thunder,112,Detroit Pistons,111
San Antonio Spurs,100,Los Angeles Lakers,113
Denver Nuggets,112,Golden State Warriors,116
Portland Trail Blazers,110,Los Angeles Clippers,104
Sacramento Kings,99,Phoenix Suns,104
Toronto Raptors,87,Brooklyn Nets,94
Los Angeles Clippers,105,Golden State Warriors,109
Indiana Pacers,93,Atlanta Hawks,101
Oklahoma City Thunder,100,Memphis Grizzlies,86
San Antonio Spurs,90,Dallas Mavericks,85
Miami Heat,99,Charlotte Bobcats,88
Chicago Bulls,93,Washington Wizards,102
Houston Rockets,120,Portland Trail Blazers,122
Oklahoma City Thunder,105,Memphis Grizzlies,111
Los Angeles Clippers,138,Golden State Warriors,98
Indiana Pacers,101,Atlanta Hawks,85
Toronto Raptors,100,Brooklyn Nets,95
Chicago Bulls,99,Washington Wizards,101
Miami Heat,101,Charlotte Bobcats,97
San Antonio Spurs,92,Dallas Mavericks,113
Houston Rockets,105,Portland Trail Blazers,112
Atlanta Hawks,98,Indiana Pacers,85
Memphis Grizzlies,98,Oklahoma City Thunder,95
Golden State Warriors,96,Los Angeles Clippers,98
Brooklyn Nets,102,Toronto Raptors,98
Washington Wizards,97,Chicago Bulls,100
Portland Trail Blazers,116,Houston Rockets,121
Atlanta Hawks,88,Indiana Pacers,91
Dallas Mavericks,109,San Antonio Spurs,108
Charlotte Bobcats,85,Miami Heat,98
Memphis Grizzlies,89,Oklahoma City Thunder,92
Washington Wizards,98,Chicago Bulls,89
Golden State Warriors,118,Los Angeles Clippers,97
Brooklyn Nets,79,Toronto Raptors,87
Portland Trail Blazers,123,Houston Rockets,120
Charlotte Bobcats,98,Miami Heat,109
Indiana Pacers,97,Atlanta Hawks,107
Dallas Mavericks,89,San Antonio Spurs,93
Chicago Bulls,69,Washington Wizards,75
Oklahoma City Thunder,99,Memphis Grizzlies,100
Los Angeles Clippers,113,Golden State Warriors,103
San Antonio Spurs,109,Dallas Mavericks,103
Toronto Raptors,115,Brooklyn Nets,113
Houston Rockets,108,Portland Trail Blazers,98
Atlanta Hawks,88,Indiana Pacers,95
Memphis Grizzlies,84,Oklahoma City Thunder,104
Golden State Warriors,100,Los Angeles Clippers,99
Brooklyn Nets,97,Toronto Raptors,83
Dallas Mavericks,113,San Antonio Spurs,111
Portland Trail Blazers,99,Houston Rockets,98
Indiana Pacers,92,Atlanta Hawks,80
Oklahoma City Thunder,120,Memphis Grizzlies,109
Los Angeles Clippers,126,Golden State Warriors,121
Toronto Raptors,103,Brooklyn Nets,104
San Antonio Spurs,119,Dallas Mavericks,96
Indiana Pacers,96,Washington Wizards,102
Oklahoma City Thunder,105,Los Angeles Clippers,122
Miami Heat,107,Brooklyn Nets,86
San Antonio Spurs,116,Portland Trail Blazers,92
Indiana Pacers,86,Washington Wizards,82
Oklahoma City Thunder,112,Los Angeles Clippers,101
Miami Heat,94,Brooklyn Nets,82
San Antonio Spurs,114,Portland Trail Blazers,97
Washington Wizards,63,Indiana Pacers,85
Los Angeles Clippers,112,Oklahoma City Thunder,118
Brooklyn Nets,104,Miami Heat,90
Portland Trail Blazers,103,San Antonio Spurs,118
Los Angeles Clippers,101,Oklahoma City Thunder,99
Washington Wizards,92,Indiana Pacers,95
Brooklyn Nets,96,Miami Heat,102
Portland Trail Blazers,103,San Antonio Spurs,92
Indiana Pacers,79,Washington Wizards,102
Oklahoma City Thunder,105,Los Angeles Clippers,104
Miami Heat,96,Brooklyn Nets,94
San Antonio Spurs,104,Portland Trail Blazers,82
Washington Wizards,80,Indiana Pacers,93
Los Angeles Clippers,98,Oklahoma City Thunder,104
Indiana Pacers,107,Miami Heat,96
San Antonio Spurs,122,Oklahoma City Thunder,105
Indiana Pacers,83,Miami Heat,87
San Antonio Spurs,112,Oklahoma City Thunder,77
Miami Heat,99,Indiana Pacers,87
Oklahoma City Thunder,106,San Antonio Spurs,97
Miami Heat,102,Indiana Pacers,90
Oklahoma City Thunder,105,San Antonio Spurs,92
Indiana Pacers,93,Miami Heat,90
San Antonio Spurs,117,Oklahoma City Thunder,89
Miami Heat,117,Indiana Pacers,92
Oklahoma City Thunder,107,San Antonio Spurs,112
San Antonio Spurs,110,Miami Heat,95
San Antonio Spurs,96,Miami Heat,98
Miami Heat,92,San Antonio Spurs,111
Miami Heat,86,San Antonio Spurs,107
San Antonio Spurs,104,Miami Heat,87
