Home,Home Points,Visitor,Visitor Points
Washington Wizards,87,Detroit Pistons,96
Miami Heat,105,Utah Jazz,89
Houston Rockets,121,Memphis Grizzlies,96
New Orleans Hornets,75,Indiana Pacers,81
Milwaukee Bucks,82,Cleveland Cavaliers,94
Denver Nuggets,110,Charlotte Bobcats,88
Portland Trail Blazers,96,Phoenix Suns,93
Golden State Warriors,115,Los Angeles Lakers,118
Brooklyn Nets,95,Philadelphia 76ers,92
New York Knicks,94,Minnesota Timberwolves,91
Orlando Magic,93,Utah Jazz,97
San Antonio Spurs,129,Dallas Mavericks,91
Phoenix Suns,77,Los Angeles Clippers,103
Sacramento Kings,108,Portland Trail Blazers,96
Brooklyn Nets,76,Boston Celtics,93
Los Angeles Lakers,100,New York Knicks,94
Miami Heat,103,Oklahoma City Thunder,97
Chicago Bulls,97,Houston Rockets,120
Los Angeles Clippers,112,Denver Nuggets,100
Charlotte Bobcats,92,Miami Heat,105
Orlando Magic,94,New Orleans Hornets,97
Washington Wizards,84,Cleveland Cavaliers,87
Atlanta Hawks,126,Detroit Pistons,119
Memphis Grizzlies,89,Philadelphia 76ers,99
Milwaukee Bucks,108,Brooklyn Nets,93
Minnesota Timberwolves,84,Houston Rockets,87
San Antonio Spurs,100,Toronto Raptors,80
Denver Nuggets,126,Los Angeles Lakers,114
Phoenix Suns,97,New York Knicks,99
Utah Jazz,83,Golden State Warriors,94
Portland Trail Blazers,109,Sacramento Kings,91
Oklahoma City Thunder,111,Dallas Mavericks,105
Los Angeles Clippers,106,Boston Celtics,77
Indiana Pacers,97,Phoenix Suns,91
Washington Wizards,105,Orlando Magic,97
Brooklyn Nets,97,Charlotte Bobcats,81
Cleveland Cavaliers,94,Atlanta Hawks,102
Detroit Pistons,109,Miami Heat,99
New Orleans Hornets,97,Toronto Raptors,104
Dallas Mavericks,85,Denver Nuggets,106
San Antonio Spurs,122,Houston Rockets,116
Utah Jazz,114,Los Angeles Clippers,116
Sacramento Kings,106,New York Knicks,105
Golden State Warriors,96,Philadelphia 76ers,89
Los Angeles Lakers,104,Portland Trail Blazers,87
Atlanta Hawks,109,Indiana Pacers,100
Charlotte Bobcats,95,New Orleans Hornets,98
Orlando Magic,88,Toronto Raptors,123
Brooklyn Nets,103,Cleveland Cavaliers,100
Chicago Bulls,87,Washington Wizards,77
Houston Rockets,94,Oklahoma City Thunder,124
Memphis Grizzlies,81,Denver Nuggets,72
Minnesota Timberwolves,111,Phoenix Suns,107
Milwaukee Bucks,104,Miami Heat,85
Portland Trail Blazers,89,Philadelphia 76ers,85
Golden State Warriors,101,Boston Celtics,83
Dallas Mavericks,86,San Antonio Spurs,111
Detroit Pistons,96,Milwaukee Bucks,94
Sacramento Kings,118,Boston Celtics,96
Los Angeles Clippers,107,Utah Jazz,96
Chicago Bulls,81,Charlotte Bobcats,91
Indiana Pacers,88,Memphis Grizzlies,83
Orlando Magic,110,Miami Heat,112
Houston Rockets,123,Atlanta Hawks,104
San Antonio Spurs,104,Brooklyn Nets,73
Oklahoma City Thunder,114,Phoenix Suns,96
Washington Wizards,94,Dallas Mavericks,103
Detroit Pistons,103,Sacramento Kings,97
New York Knicks,100,Portland Trail Blazers,105
New Orleans Hornets,86,Atlanta Hawks,95
Denver Nuggets,92,Los Angeles Clippers,78
Los Angeles Lakers,99,Philadelphia 76ers,103
Cleveland Cavaliers,94,Sacramento Kings,97
Indiana Pacers,89,Washington Wizards,81
Orlando Magic,94,Chicago Bulls,96
Toronto Raptors,102,Portland Trail Blazers,79
Boston Celtics,83,Memphis Grizzlies,93
Miami Heat,119,Dallas Mavericks,109
Houston Rockets,104,New Orleans Hornets,92
Milwaukee Bucks,110,San Antonio Spurs,117
Oklahoma City Thunder,93,Brooklyn Nets,110
Phoenix Suns,95,Philadelphia 76ers,89
Utah Jazz,106,Minnesota Timberwolves,84
Golden State Warriors,115,Los Angeles Clippers,94
New York Knicks,100,San Antonio Spurs,83
Denver Nuggets,97,Minnesota Timberwolves,101
Charlotte Bobcats,104,Cleveland Cavaliers,106
Toronto Raptors,96,Sacramento Kings,105
Washington Wizards,113,Brooklyn Nets,115
Detroit Pistons,85,Atlanta Hawks,84
Boston Celtics,94,Indiana Pacers,75
Memphis Grizzlies,84,Portland Trail Blazers,86
Miami Heat,89,Chicago Bulls,96
Oklahoma City Thunder,109,Philadelphia 76ers,85
Milwaukee Bucks,101,Houston Rockets,115
Phoenix Suns,80,Utah Jazz,87
Los Angeles Clippers,107,Los Angeles Lakers,102
Atlanta Hawks,81,Boston Celtics,89
Indiana Pacers,95,Milwaukee Bucks,80
Orlando Magic,106,New York Knicks,114
Brooklyn Nets,113,Sacramento Kings,93
Cleveland Cavaliers,104,Houston Rockets,112
Minnesota Timberwolves,97,Portland Trail Blazers,102
Dallas Mavericks,96,New Orleans Hornets,99
San Antonio Spurs,109,Philadelphia 76ers,86
Denver Nuggets,110,Utah Jazz,91
Los Angeles Clippers,115,Golden State Warriors,89
Toronto Raptors,92,Oklahoma City Thunder,104
Miami Heat,99,Washington Wizards,71
Detroit Pistons,101,Charlotte Bobcats,108
Phoenix Suns,81,Memphis Grizzlies,92
Los Angeles Lakers,105,Denver Nuggets,112
Washington Wizards,101,Oklahoma City Thunder,99
New York Knicks,96,Boston Celtics,102
Chicago Bulls,118,Cleveland Cavaliers,92
New Orleans Hornets,95,San Antonio Spurs,88
Utah Jazz,100,Dallas Mavericks,94
Portland Trail Blazers,125,Orlando Magic,119
Sacramento Kings,81,Memphis Grizzlies,113
Indiana Pacers,87,Miami Heat,77
Philadelphia 76ers,89,Brooklyn Nets,109
Houston Rockets,125,Los Angeles Lakers,112
Milwaukee Bucks,108,Phoenix Suns,99
Minnesota Timberwolves,108,Atlanta Hawks,103
Charlotte Bobcats,102,Utah Jazz,112
Cleveland Cavaliers,99,Atlanta Hawks,83
Toronto Raptors,90,Philadelphia 76ers,72
Boston Celtics,87,Phoenix Suns,79
Chicago Bulls,96,Milwaukee Bucks,104
New Orleans Hornets,88,Houston Rockets,79
Oklahoma City Thunder,106,Minnesota Timberwolves,84
San Antonio Spurs,108,Los Angeles Lakers,105
Denver Nuggets,108,Orlando Magic,105
Golden State Warriors,87,Memphis Grizzlies,94
Los Angeles Clippers,99,Dallas Mavericks,93
Indiana Pacers,81,New York Knicks,76
Sacramento Kings,112,Dallas Mavericks,117
Portland Trail Blazers,92,Miami Heat,90
Toronto Raptors,99,Charlotte Bobcats,78
Atlanta Hawks,103,Utah Jazz,95
Boston Celtics,103,Houston Rockets,91
Brooklyn Nets,99,Phoenix Suns,79
Memphis Grizzlies,101,San Antonio Spurs,98
New Orleans Hornets,104,Minnesota Timberwolves,92
New York Knicks,101,Chicago Bulls,108
Milwaukee Bucks,87,Detroit Pistons,103
Denver Nuggets,98,Cleveland Cavaliers,91
Golden State Warriors,103,Portland Trail Blazers,97
Los Angeles Lakers,101,Oklahoma City Thunder,116
Los Angeles Clippers,101,Orlando Magic,104
